<p>All</p>
"File_Name","Description","Provided_CMMC_Mappings","Suggested_CMMC_Mappings","Current_Sharepoint_Link","New_Sharepoint_Link","TODOs"
"80 M Street Access and Parking Info - For Visitors_10.1.2025.pdf","IGNORE THIS EVIDENCE",,,"https://eagle.sharepoint.com/:b:/r/teams/ABSGroupCMMCTaskforce/Shared%20Documents/General/SP%20800-171%20R2%20Requirements/Overview%20-%20Data%20Call/Visitor%20Logbook/80%20M%20Street%20Access%20and%20Parking%20Info%20-%20For%20Visitors_10.1.2025.pdf?csf=1&web=1&e=rcUB13"
"Activity Logs Genetec 3.10.4.png",,"3.10.4",,"https://eagle.sharepoint.com/:i:/r/teams/ABSGroupCMMCTaskforce/Shared%20Documents/General/SP%20800-171%20R2%20Requirements/Overview%20-%20Data%20Call/PS%20Genetec/Activity%20Logs%20Genetec%203.10.4.png?csf=1&web=1&e=H9joN1",,"TODO: Genetec logs for PE"
"Archiver Events 3.10.1_3.10.5.png",,"3.10.1;3.10.5",,"https://eagle.sharepoint.com/:i:/r/teams/ABSGroupCMMCTaskforce/Shared%20Documents/General/SP%20800-171%20R2%20Requirements/Overview%20-%20Data%20Call/PS%20Genetec/Archiver%20Events%203.10.1_3.10.2_3.10.5.png?csf=1&web=1&e=NLFKQB"
"Doors Names and Groups defined for control 3.10.1 Genetec",,"3.10.1",,"https://eagle.sharepoint.com/:i:/r/teams/ABSGroupCMMCTaskforce/Shared%20Documents/General/SP%20800-171%20R2%20Requirements/Overview%20-%20Data%20Call/PS%20Genetec/Doors%20Names%20and%20Groups%20defined%20for%20control%203.10.1%20Genetec.png?csf=1&web=1&e=geyrVx"
"Genetec Areas are controlled and Secured 3.10.1",,"3.10.1",,"https://eagle.sharepoint.com/:i:/r/teams/ABSGroupCMMCTaskforce/Shared%20Documents/General/SP%20800-171%20R2%20Requirements/Overview%20-%20Data%20Call/PS%20Genetec/Genetec%20Areas%20are%20controlled%20and%20secured%203.10.1.png?csf=1&web=1&e=mgXxCj"
"Identified Devices 3.10.5 Genetec.png",,"3.10.5",,"https://eagle.sharepoint.com/:i:/r/teams/ABSGroupCMMCTaskforce/Shared%20Documents/General/SP%20800-171%20R2%20Requirements/Overview%20-%20Data%20Call/PS%20Genetec/Identifed%20Devices%203.10.5%20Genetec%20.png?csf=1&web=1&e=KeWaEI"
"LogOut screen.png","IGNORE THIS EVIDENCE",,,"https://eagle.sharepoint.com/:i:/r/teams/ABSGroupCMMCTaskforce/Shared%20Documents/General/SP%20800-171%20R2%20Requirements/Overview%20-%20Data%20Call/PS%20Genetec/LogOut%20screen.png?csf=1&web=1&e=2aKn3Y"
"Managing Devices 3.10.5.png",,"3.10.5",,"https://eagle.sharepoint.com/:i:/r/teams/ABSGroupCMMCTaskforce/Shared%20Documents/General/SP%20800-171%20R2%20Requirements/Overview%20-%20Data%20Call/PS%20Genetec/Managing%20Devices%203.10.5.png?csf=1&web=1&e=iNXlGd"
"Azure Gov Eagleg Account Requests.xlsx","Accounts are processed via ITSM and Ansible automations after approval process","3.1.2",,"https://eagle.sharepoint.com/:x:/r/teams/ABSGroupCMMCTaskforce/_layouts/15/Doc.aspx?sourcedoc=%7BB5F535BB-26C4-44ED-88BF-4BFE96AE0A95%7D&file=Azure%20Gov%20Eagleg%20Account%20Requests.xlsx&action=default&mobileredirect=true",,"CAP: Process flow diagram for ticket workflow with manager approval."
"image (1).png","Email of manager approval and training certification provided with ITSM ticket before access granted.",,"3.2.2","https://eagle.sharepoint.com/teams/ABSGroupCMMCTaskforce/Shared%20Documents/Forms/AllItems.aspx?viewid=3a8612fa%2D4176%2D4f05%2D8c8d%2Df60f842ad418&FolderCTID=0x012000C78ED7C323513D4D8E46A458BE1E6A28&id=%2Fteams%2FABSGroupCMMCTaskforce%2FShared%20Documents%2FGeneral%2FSP%20800%2D171%20R2%20Requirements%2FOverview%20%2D%20Data%20Call%2FAccess%20Permission%20Review%2Fimage%20%281%29%2Epng&parent=%2Fteams%2FABSGroupCMMCTaskforce%2FShared%20Documents%2FGeneral%2FSP%20800%2D171%20R2%20Requirements%2FOverview%20%2D%20Data%20Call%2FAccess%20Permission%20Review",,"INTERNAL: Map to AC and AT"
"exportRoleAssignments_All_2025-10-31.xlsx","50 Azure Users and 20 Azure Groups. Access is federated base don principle of least privilege and function. Administrator accounts are tagged. Evidence exported includes roleDisplayName; isBuiltIn;userPrincipalName;displayName;objectType;userType;directoryScopeId;directoryScopeName;directoryScopeType","3.1.1;3.1.4;3.1.5;3.1.6;3.4.5;3.5.1",,"https://eagle.sharepoint.com/:x:/r/teams/ABSGroupCMMCTaskforce/_layouts/15/Doc.aspx?sourcedoc=%7B673D8172-5FAE-47B3-91FE-0A0AC516ECAD%7D&file=exportRoleAssignments_All_2025-10-31.xlsx&action=default&mobileredirect=true"
"CIS - Windows - AVD.htm","Group Policies for AVD environment. Related to STIGS","3.1.10;3.1.11;3.5.10;3.5.6;3.5.8;3.5.9;3.8.7;3.8.6;3.8.8;3.13.11;3.13.12;3.13.13;3.13.9;3.1.19;3.1.21",,"https://eagle.sharepoint.com/teams/ABSGroupCMMCTaskforce/Shared%20Documents/Forms/AllItems.aspx?viewid=3a8612fa%2D4176%2D4f05%2D8c8d%2Df60f842ad418&FolderCTID=0x012000C78ED7C323513D4D8E46A458BE1E6A28&id=%2Fteams%2FABSGroupCMMCTaskforce%2FShared%20Documents%2FGeneral%2FSP%20800%2D171%20R2%20Requirements%2FOverview%20%2D%20Data%20Call%2FAdmin%20Evidence%20Requirements%2FAC%2F3%2E1%2E10%2FCIS%20%2D%20Windows%20%2D%20AVD%2Ehtm&parent=%2Fteams%2FABSGroupCMMCTaskforce%2FShared%20Documents%2FGeneral%2FSP%20800%2D171%20R2%20Requirements%2FOverview%20%2D%20Data%20Call%2FAdmin%20Evidence%20Requirements%2FAC%2F3%2E1%2E10",,"INTERNAL: Leverage against STIGs and analyze for any gaps"
"CIS - Windows - Member Servers.htm","Group Policies for AVD environment. Related to STIGS","3.1.10;3.1.11;3.5.10;3.5.6;3.5.8;3.5.9;3.8.7;3.8.6;3.8.8;3.13.11;3.13.12;3.13.13;3.13.9;3.1.19;3.1.21",,"https://eagle.sharepoint.com/teams/ABSGroupCMMCTaskforce/Shared%20Documents/Forms/AllItems.aspx?viewid=3a8612fa%2D4176%2D4f05%2D8c8d%2Df60f842ad418&FolderCTID=0x012000C78ED7C323513D4D8E46A458BE1E6A28&id=%2Fteams%2FABSGroupCMMCTaskforce%2FShared%20Documents%2FGeneral%2FSP%20800%2D171%20R2%20Requirements%2FOverview%20%2D%20Data%20Call%2FAdmin%20Evidence%20Requirements%2FAC%2F3%2E1%2E10%2FCIS%20%2D%20Windows%20%2D%20Member%20Servers%2Ehtm&parent=%2Fteams%2FABSGroupCMMCTaskforce%2FShared%20Documents%2FGeneral%2FSP%20800%2D171%20R2%20Requirements%2FOverview%20%2D%20Data%20Call%2FAdmin%20Evidence%20Requirements%2FAC%2F3%2E1%2E10",,"INTERNAL: Leverage against STIGs and analyze for any gaps"
"Group GPO policies.zip","Group Policies for AVD environment. Related to STIGS","3.1.10;3.1.11;3.5.10;3.5.6;3.5.8;3.5.9;3.8.7;3.8.6;3.8.8;3.13.11;3.13.12;3.13.13;3.13.9;3.1.19;3.1.21",,"https://eagle.sharepoint.com/teams/ABSGroupCMMCTaskforce/Shared%20Documents/Forms/AllItems.aspx?id=%2Fteams%2FABSGroupCMMCTaskforce%2FShared%20Documents%2FGeneral%2FSP%20800%2D171%20R2%20Requirements%2FOverview%20%2D%20Data%20Call%2FAdmin%20Evidence%20Requirements%2FAC%2F3%2E1%2E10%2FGroup%20GPO%20policies%2Ezip&parent=%2Fteams%2FABSGroupCMMCTaskforce%2FShared%20Documents%2FGeneral%2FSP%20800%2D171%20R2%20Requirements%2FOverview%20%2D%20Data%20Call%2FAdmin%20Evidence%20Requirements%2FAC%2F3%2E1%2E10",,"Find out if they're managing AVD via SCCM and AD instead of Intune"
"group-cmmc-vpn-conf-cond-access.docx","Laptops are required to leverage VPN for point to site connections controlled through conditional access policies.","3.1.12",,"https://eagle.sharepoint.com/:w:/r/teams/ABSGroupCMMCTaskforce/_layouts/15/Doc.aspx?sourcedoc=%7B6612A2AF-7AF9-400B-AC0C-58DCD472F515%7D&file=group-cmmc-vpn-conf-cond-access.docx&action=default&mobileredirect=true",,"TODO: Map to AU logging policies"
"ABSGroup-CMMC.vsdx","Remote access is routed through an Azure Firewall with conditional access policies applied.","3.1.14;3.13.4",,"https://eagle.sharepoint.com/:u:/r/teams/ABSGroupCMMCTaskforce/_layouts/15/Doc.aspx?sourcedoc=%7B546D2A50-B3AF-4895-8B9A-9597DE77A4BF%7D&file=ABSGroup-CMMC.vsdx&action=default&mobileredirect=true"
"environment-secured-by-firewall.docx","All private and Public traffic must traverse the Azure firewall for inspection for all connected networks.  This along with the forced Microsegmentation proves network isolation. ","3.1.14",,"https://eagle.sharepoint.com/:w:/r/teams/ABSGroupCMMCTaskforce/_layouts/15/Doc.aspx?sourcedoc=%7BE9B83F42-0327-472D-B2F0-8FB1C47BBAEC%7D&file=environment-secured-by-firewall.docx&action=default&mobileredirect=true"
"FW-Rules-ABSGroup-CMMC.png","Only approved applications controlled through firewall access control routing policies.","3.1.3;3.1.14",,"https://eagle.sharepoint.com/teams/ABSGroupCMMCTaskforce/Shared%20Documents/Forms/AllItems.aspx?viewid=3a8612fa%2D4176%2D4f05%2D8c8d%2Df60f842ad418&FolderCTID=0x012000C78ED7C323513D4D8E46A458BE1E6A28&id=%2Fteams%2FABSGroupCMMCTaskforce%2FShared%20Documents%2FGeneral%2FSP%20800%2D171%20R2%20Requirements%2FOverview%20%2D%20Data%20Call%2FAdmin%20Evidence%20Requirements%2FAC%2F3%2E1%2E14%2FFW%2DRules%2DABSGroup%2DCMMC%2Epng&parent=%2Fteams%2FABSGroupCMMCTaskforce%2FShared%20Documents%2FGeneral%2FSP%20800%2D171%20R2%20Requirements%2FOverview%20%2D%20Data%20Call%2FAdmin%20Evidence%20Requirements%2FAC%2F3%2E1%2E14"
"vnet-groupavd-microsegmentation.docx","Associated route table forces all traffic leaving the subnet to hit the Firewall IP as the next hop. ","3.1.14",,"https://eagle.sharepoint.com/:w:/r/teams/ABSGroupCMMCTaskforce/_layouts/15/Doc.aspx?sourcedoc=%7BE856A188-A511-4633-9B99-6590A00F9611%7D&file=vnet-groupavd-microsegmentation.docx&action=default&mobileredirect=true"
"Access Reviews for EagleG accounts.jpg","ITSM leveraged for approval and approver tracking for user access.",,"3.1.1;3.1.2;3.1.7;3.1.15;3.1.20","https://eagle.sharepoint.com/teams/ABSGroupCMMCTaskforce/Shared%20Documents/Forms/AllItems.aspx?viewid=3a8612fa%2D4176%2D4f05%2D8c8d%2Df60f842ad418&FolderCTID=0x012000C78ED7C323513D4D8E46A458BE1E6A28&id=%2Fteams%2FABSGroupCMMCTaskforce%2FShared%20Documents%2FGeneral%2FSP%20800%2D171%20R2%20Requirements%2FOverview%20%2D%20Data%20Call%2FAdmin%20Evidence%20Requirements%2FAC%2F3%2E1%2E16%2FAccess%20Reviews%20for%20EagleG%20accounts%2Ejpg&parent=%2Fteams%2FABSGroupCMMCTaskforce%2FShared%20Documents%2FGeneral%2FSP%20800%2D171%20R2%20Requirements%2FOverview%20%2D%20Data%20Call%2FAdmin%20Evidence%20Requirements%2FAC%2F3%2E1%2E16",,"TODO: Remap this, it's incorrect"
"0281aa35-f5cb-4ad1-90cb-9a01ac01017c.jpg","ITSM leveraged for approval and approver tracking for user access.","3.1.18",,"https://eagle.sharepoint.com/teams/ABSGroupCMMCTaskforce/Shared%20Documents/Forms/AllItems.aspx?viewid=3a8612fa%2D4176%2D4f05%2D8c8d%2Df60f842ad418&FolderCTID=0x012000C78ED7C323513D4D8E46A458BE1E6A28&id=%2Fteams%2FABSGroupCMMCTaskforce%2FShared%20Documents%2FGeneral%2FSP%20800%2D171%20R2%20Requirements%2FOverview%20%2D%20Data%20Call%2FAdmin%20Evidence%20Requirements%2FAC%2F3%2E1%2E16%2FAccess%20Reviews%20for%20EagleG%20accounts%2Ejpg&parent=%2Fteams%2FABSGroupCMMCTaskforce%2FShared%20Documents%2FGeneral%2FSP%20800%2D171%20R2%20Requirements%2FOverview%20%2D%20Data%20Call%2FAdmin%20Evidence%20Requirements%2FAC%2F3%2E1%2E16",,"TODO: Remap this it's incorrect and the same as the link above"
"9fef8aa6-0674-4b58-93e5-7aa1cd179afc.jpg","Bitlocker encryption for CUI via Intune","3.1.18",,"https://eagle.sharepoint.com/teams/ABSGroupCMMCTaskforce/Shared%20Documents/Forms/AllItems.aspx?viewid=3a8612fa%2D4176%2D4f05%2D8c8d%2Df60f842ad418&FolderCTID=0x012000C78ED7C323513D4D8E46A458BE1E6A28&id=%2Fteams%2FABSGroupCMMCTaskforce%2FShared%20Documents%2FGeneral%2FSP%20800%2D171%20R2%20Requirements%2FOverview%20%2D%20Data%20Call%2FAdmin%20Evidence%20Requirements%2FAC%2F3%2E1%2E18%2F9fef8aa6%2D0674%2D4b58%2D93e5%2D7aa1cd179afc%2Ejpg&parent=%2Fteams%2FABSGroupCMMCTaskforce%2FShared%20Documents%2FGeneral%2FSP%20800%2D171%20R2%20Requirements%2FOverview%20%2D%20Data%20Call%2FAdmin%20Evidence%20Requirements%2FAC%2F3%2E1%2E18",,"TODO: Remap this it's incorrect. Also, confirm that Intune is being used vs. AAAD."
"AC3.1.18.docx","Server side encryption of disks for AVD.","3.1.18",,"https://eagle.sharepoint.com/:w:/r/teams/ABSGroupCMMCTaskforce/_layouts/15/Doc.aspx?sourcedoc=%7BBD5E3EBC-48B1-4584-A6A3-8250FA80ADC8%7D&file=AC3.1.18.docx&action=default&mobileredirect=true",,"TODO: Remap this it's incorrect. Also, confirm Bitlocker encryption for mobile devices and laptops"
"bbb68f1a-a23d-4a4b-ad80-bfec2f0df32b.jpg","Bitlocker encryption for CUI via Intune","3.1.18",,"https://eagle.sharepoint.com/teams/ABSGroupCMMCTaskforce/Shared%20Documents/Forms/AllItems.aspx?viewid=3a8612fa%2D4176%2D4f05%2D8c8d%2Df60f842ad418&FolderCTID=0x012000C78ED7C323513D4D8E46A458BE1E6A28&id=%2Fteams%2FABSGroupCMMCTaskforce%2FShared%20Documents%2FGeneral%2FSP%20800%2D171%20R2%20Requirements%2FOverview%20%2D%20Data%20Call%2FAdmin%20Evidence%20Requirements%2FAC%2F3%2E1%2E18%2Fbbb68f1a%2Da23d%2D4a4b%2Dad80%2Dbfec2f0df32b%2Ejpg&parent=%2Fteams%2FABSGroupCMMCTaskforce%2FShared%20Documents%2FGeneral%2FSP%20800%2D171%20R2%20Requirements%2FOverview%20%2D%20Data%20Call%2FAdmin%20Evidence%20Requirements%2FAC%2F3%2E1%2E18",,"TODO: Remap this it's incorrect. Also, confirm Bitlocker encryption for mobile devices and laptops"
"PIM Logs_10_31_2025.png","User audit failures are tracked and reviewed by authorized security staff",,"3.1.2;3.1.4;3.1.5;3.1.6;3.1.7;3.14.7","https://eagle.sharepoint.com/teams/ABSGroupCMMCTaskforce/Shared%20Documents/Forms/AllItems.aspx?viewid=3a8612fa%2D4176%2D4f05%2D8c8d%2Df60f842ad418&FolderCTID=0x012000C78ED7C323513D4D8E46A458BE1E6A28&id=%2Fteams%2FABSGroupCMMCTaskforce%2FShared%20Documents%2FGeneral%2FSP%20800%2D171%20R2%20Requirements%2FOverview%20%2D%20Data%20Call%2FAdmin%20Evidence%20Requirements%2FAC%2F3%2E1%2E7%2FPIM%20Logs%5F10%5F31%5F2025%2Epng&parent=%2Fteams%2FABSGroupCMMCTaskforce%2FShared%20Documents%2FGeneral%2FSP%20800%2D171%20R2%20Requirements%2FOverview%20%2D%20Data%20Call%2FAdmin%20Evidence%20Requirements%2FAC%2F3%2E1%2E7",,"TODO: Audit review process ITSM"
"Failed Azure Sign-in logs_10_31_2025.png","User audit failures are tracked and reviewed by authorized security staff","3.1.8","3.1.8;3.14.7","https://eagle.sharepoint.com/teams/ABSGroupCMMCTaskforce/Shared%20Documents/Forms/AllItems.aspx?viewid=3a8612fa%2D4176%2D4f05%2D8c8d%2Df60f842ad418&FolderCTID=0x012000C78ED7C323513D4D8E46A458BE1E6A28&id=%2Fteams%2FABSGroupCMMCTaskforce%2FShared%20Documents%2FGeneral%2FSP%20800%2D171%20R2%20Requirements%2FOverview%20%2D%20Data%20Call%2FAdmin%20Evidence%20Requirements%2FAC%2F3%2E1%2E7%2FPIM%20Logs%5F10%5F31%5F2025%2Epng&parent=%2Fteams%2FABSGroupCMMCTaskforce%2FShared%20Documents%2FGeneral%2FSP%20800%2D171%20R2%20Requirements%2FOverview%20%2D%20Data%20Call%2FAdmin%20Evidence%20Requirements%2FAC%2F3%2E1%2E7",,"TODO: Audit review process ITSM. Remove this same evidence as above"
"Condional Access Policies_10_31_2025.png","MFA Allowed for all users in Eagle-G",,"3.1.7","https://eagle.sharepoint.com/teams/ABSGroupCMMCTaskforce/Shared%20Documents/Forms/AllItems.aspx?viewid=3a8612fa%2D4176%2D4f05%2D8c8d%2Df60f842ad418&FolderCTID=0x012000C78ED7C323513D4D8E46A458BE1E6A28&id=%2Fteams%2FABSGroupCMMCTaskforce%2FShared%20Documents%2FGeneral%2FSP%20800%2D171%20R2%20Requirements%2FOverview%20%2D%20Data%20Call%2FAdmin%20Evidence%20Requirements%2FAC%2FAC%2FCondional%20Access%20Policies%5F10%5F31%5F2025%2Epng&parent=%2Fteams%2FABSGroupCMMCTaskforce%2FShared%20Documents%2FGeneral%2FSP%20800%2D171%20R2%20Requirements%2FOverview%20%2D%20Data%20Call%2FAdmin%20Evidence%20Requirements%2FAC%2FAC",,"TODO: Map these across different domains. Ask why MFA not mandatory."
"exportUsers_2025-10-31.xlsx","All non-privileged accounts are tracked","3.1.6",,"https://eagle.sharepoint.com/:x:/r/teams/ABSGroupCMMCTaskforce/_layouts/15/Doc.aspx?sourcedoc=%7B018861EB-4C48-4AAB-9A63-409415815304%7D&file=exportUsers_2025-10-31.xlsx&action=default&mobileredirect=true",,"TODO: User Review process"
"MFA All_10_31_2025.png","Conditional Access Policy MFA","3.5.2","3.5.2;3.7.5","https://eagle.sharepoint.com/teams/ABSGroupCMMCTaskforce/Shared%20Documents/Forms/AllItems.aspx?viewid=3a8612fa%2D4176%2D4f05%2D8c8d%2Df60f842ad418&FolderCTID=0x012000C78ED7C323513D4D8E46A458BE1E6A28&id=%2Fteams%2FABSGroupCMMCTaskforce%2FShared%20Documents%2FGeneral%2FSP%20800%2D171%20R2%20Requirements%2FOverview%20%2D%20Data%20Call%2FAdmin%20Evidence%20Requirements%2FIA%2F3%2E5%2E2%2FMFA%20All%5F10%5F31%5F2025%2Epng&parent=%2Fteams%2FABSGroupCMMCTaskforce%2FShared%20Documents%2FGeneral%2FSP%20800%2D171%20R2%20Requirements%2FOverview%20%2D%20Data%20Call%2FAdmin%20Evidence%20Requirements%2FIA%2F3%2E5%2E2"
"IA3.5.11.docx",,"3.5.11",,"https://eagle.sharepoint.com/:w:/r/teams/ABSGroupCMMCTaskforce/Shared%20Documents/General/SP%20800-171%20R2%20Requirements/Overview%20-%20Data%20Call/Admin%20Evidence%20Requirements/IA/3.5.11/IA3.5.11.docx?d=wb261cc264bd843fc9195e12770eba4fd&csf=1&web=1&e=qGDDZg"
"VPN MFA_Device Compliance_01_31_2025.png","Conditional Access Policy for Azure VPN","3.5.2;3.5.3","3.5.2;3.5.3;3.1.13","https://eagle.sharepoint.com/:i:/r/teams/ABSGroupCMMCTaskforce/Shared%20Documents/General/SP%20800-171%20R2%20Requirements/Overview%20-%20Data%20Call/Admin%20Evidence%20Requirements/IA/3.5.2/VPN%20MFA_Device%20Compliance_01_31_2025.png?csf=1&web=1&e=rzuYDb"
"P2S Authentication.docx","VPN Authentication Settings","3.5.5","3.5.5;3.1.13","https://eagle.sharepoint.com/:w:/r/teams/ABSGroupCMMCTaskforce/Shared%20Documents/General/SP%20800-171%20R2%20Requirements/Overview%20-%20Data%20Call/Admin%20Evidence%20Requirements/IA/3.5.5/P2S%20Authentication.docx?d=w7cf66c2b06374cd19bba43c35dad8884&csf=1&web=1&e=gO4qcu"
"IA3.5.7.docx","Eagle G Authentication methods Policies","3.5.7","3.5.7;3.1.13","https://eagle.sharepoint.com/:w:/r/teams/ABSGroupCMMCTaskforce/Shared%20Documents/General/SP%20800-171%20R2%20Requirements/Overview%20-%20Data%20Call/Admin%20Evidence%20Requirements/IA/3.5.7/IA3.5.7.docx?d=w8795bd9aeb62446193f41e475e8bbbee&csf=1&web=1&e=AMuaTb"
"IMS-ATT-00148","IT Systems Identification and Authentication Standard",,"3.5.11;3.5.1; 3.5.2; 3.5.3; 3.5.4; 3.5.5; 3.5.6","https://eagle.sharepoint.com/:w:/r/teams/ABSGroupCMMCTaskforce/Shared%20Documents/General/SP%20800-171%20R2%20Requirements/Overview%20-%20Data%20Call/ETQ%20Data%20Pull/IMS-POL-00003,%20Cybersecurity%20Policy%20Manual/IMS-ATT-00148%20Rev%200,%20IT%20Systems%20Identification%20and%20Authentication%20Standard.docx?d=wf100e26fe4104db4a25778e2f1245c04&csf=1&web=1&e=ZIuq9x"
"IMS-ATT-00152","IT Systems Password Standard",,"3.5.7; 3.5.8; 3.5.9; 3.5.10","https://eagle.sharepoint.com/:w:/r/teams/ABSGroupCMMCTaskforce/Shared%20Documents/General/SP%20800-171%20R2%20Requirements/Overview%20-%20Data%20Call/ETQ%20Data%20Pull/IMS-POL-00003,%20Cybersecurity%20Policy%20Manual/IMS-ATT-00152%20Rev%202,%20IT%20Systems%20Password%20Standard.docx?d=w446f32e629b04fa989491baa0acdf016&csf=1&web=1&e=hn2ctj"
"Password Requirements Genetec.png","Access control systems have password requirements for administrative access aligned to best practices",,"3.5.7","https://eagle.sharepoint.com/:i:/r/teams/ABSGroupCMMCTaskforce/Shared%20Documents/General/SP%20800-171%20R2%20Requirements/Overview%20-%20Data%20Call/PS%20Genetec/Password%20Requirements%20Genetec.png?csf=1&web=1&e=jeyivn"
