CMMC_ID,Control,Score,AR_CAP_POAM,Policy_Statement,Azure_Mechanism,Azure_Configuration_Process,Azure_Evidence,AVD_Laptop,AVD_Laptop_Evidence,Evidence_Strings
3.1.11,Terminate (automatically) a user session after a defined condition.,1,0,,EntraID| InTune,S7 will configure systems to terminate user sessions after 15 minutes of screen lock. Client is responsible for codifying this setting into client policy. If client desires a different set of parameters| client must submit an appropriate change ticket.; S7 configures a default timeout policy.,,Automated mechanisms exist to log out users| both locally on the network and for remote sessions| at the end of the session or after an organization-defined period of inactivity. ; Mechanisms exist to develop| document and maintain secure baseline configurations for technology platforms that are consistent with industry-accepted system hardening standards. ,,
3.1.12,Monitor and control remote access sessions.,5,0,,EntraID| Conditional Access Policies.; Entra ID| Conditional Access; Sentinel,S7 will provide client with types of remote access S7 uses to connect to environment. S7 will consult with client to determine the type of remote access client uses to access environment and configure accordingly. Client is responsible for conveying internal policy on remote access to S7 to ensure that environment is configured according to client policy.; Summit 7 utilizes AAD and Conditional Access policies to control remote access sessions| limiting device and user access to authorized users and devices (Compliance criteria).; S7 configures Sentinel logs to capture this information. Client is responsible for auditing contents of this log.,,Mechanisms exist to enforce a Role-Based Access Control (RBAC) policy over users and resources that applies need-to-know and fine-grained access control for sensitive/regulated data access.; Mechanisms exist to develop| document and maintain secure baseline configurations for technology platforms that are consistent with industry-accepted system hardening standards. ; Mechanisms exist to define| control and review organization-approved| secure remote access methods.; Mechanisms exist to restrict the execution of privileged commands and access to security-relevant information via remote access only for compelling operational needs. ; Mechanisms exist to monitor and control communications at the external network boundary and at key internal boundaries within the network.; Mechanisms exist to authorize| monitor and control remote| non-local maintenance and diagnostic activities.; Mechanisms exist to define secure telecommuting practices and govern remote access to systems and data for remote workers. ; Mechanisms exist to define acceptable and unacceptable rules of behavior for the use of technologies| including consequences for unacceptable behavior.; Mechanisms exist to establish usage restrictions and implementation guidance for communications technologies based on the potential to cause damage to systems| if used maliciously. ; Mechanisms exist to facilitate the implementation of industry-recognized cybersecurity & data privacy practices in the specification| design| development| implementation and modification of systems and services.,,
3.1.13,Employ cryptographic mechanisms to protect the confidentiality of remote access sessions.,5,0,,InTune,Summit 7 configures Intune to 'Allow' the FIPS Policy by default.; Summit 7 configures device restrictions in Intune to force FIPS-validated cryptography for remote access sessions. ,,,,
3.1.14,Route remote access via managed access control points.,1,0,,,N/A| nature of M365 means that all remote access is managed entirely by Microsoft.,,,,
3.1.15,Authorize remote execution of privileged commands and remote access to security-relevant information.,1,0,,RBAC form| PIM,S7 will provide the RBAC form which specifies the types of privileged access that S7 personnel require for administrating the environment. Client is responsible for formally accepting these requirements. Client is responsible for formalizing permissions that are acceptable for remote access via policy. Client is responsible for communication to S7 what permissions are formally permitted for remote access. S7 will configure environment according to S7 minimum needs and client's formally identified permitted remote privileged access.,,,,
3.1.16,Authorize wireless access prior to allowing such connections.,5,0,,,,,Mechanisms exist to develop| document and maintain secure baseline configurations for technology platforms that are consistent with industry-accepted system hardening standards. ; Mechanisms exist to control authorized wireless usage and monitor for unauthorized wireless access.; Mechanisms exist to protect wireless access through authentication and strong encryption. ; Mechanisms exist to facilitate the implementation of industry-recognized cybersecurity & data privacy practices in the specification| design| development| implementation and modification of systems and services.,,
3.1.17,Protect wireless access using authentication and encryption.,5,0,,,,,,,
3.1.18,Control connection of mobile devices.,5,0,,Defender for Endpoint demo.; InTune| Azure AD| Sentinel,Summit7 can configure InTune to allow only approved devices access to the CUI environment. S7 can produce a list of these devices from InTune on demand. Client is responsible for identifying which specific devices are to be permitted access to the CUI environment| and under what circumstances. Client is responsible for auditing list of current devices regularly.; S7 will configure InTune and Azure AD connectors. Client is responsible for performing monitoring of logged events.,,Mechanisms exist to develop| document and maintain secure baseline configurations for technology platforms that are consistent with industry-accepted system hardening standards. ; Mechanisms exist to implement and govern Mobile Device Management (MDM) controls.; Mechanisms exist to enforce access control requirements for the connection of mobile devices to organizational systems. ; Cryptographic mechanisms exist to protect the confidentiality and integrity of information on mobile devices through full-device or container encryption.; Mechanisms exist to uniquely identify and centrally Authenticate| Authorize and Audit (AAA) devices before establishing a connection using bidirectional authentication that is cryptographically- based and replay resistant.; Mechanisms exist to define acceptable and unacceptable rules of behavior for the use of technologies| including consequences for unacceptable behavior.; Mechanisms exist to establish usage restrictions and implementation guidance for communications technologies based on the potential to cause damage to systems| if used maliciously. ; Mechanisms exist to manage business risks associated with permitting mobile device access to organizational resources.; Mechanisms exist to facilitate the implementation of industry-recognized cybersecurity & data privacy practices in the specification| design| development| implementation and modification of systems and services.,,
3.1.19,Encrypt CUI on mobile devices and mobile computing platforms.21,3,0,,InTune| Azure AD; InTune| MIP-UL,S7 will configure InTune and Azure AD to only permit approved devices to connect to the CUI environment. Client is responsible for identifying how devices are approved. Client is responsible for reviewing list of current devices found in InTune and understanding which are CUI devices.; S7 will configure InTune and MIP-UL to enforce encryption of mobile devices and computing platforms.,,,,
3.1.20,Verify and control/limit connections to and use of external systems.,1,0,,Conditional Access Policies; Conditional Access Policies (Device Hygiene| Geofencing),S7 provides information on remote connections to the GCC High environment for client review/approval/formal adoption. Client is responsible for developing and maintaining the documentation of the information provided.; S7 configures Conditional Access Policies to ensure that only verified connections to/from external systems are permitted.,,Mechanisms exist to authorize connections from systems to other systems using Interconnection Security Agreements (ISAs)| or similar methods| that document| for each interconnection| the interface characteristics| cybersecurity & data privacy requirements and the nature of the information communicated.; Mechanisms exist to implement and govern Mobile Device Management (MDM) controls.; Mechanisms exist to govern how external parties| systems and services are used to securely store| process and transmit data. ; Mechanisms exist to restrict or prohibit the use of portable storage devices by users on external systems. ; Mechanisms exist to retain media and data in accordance with applicable statutory| regulatory and contractual obligations. ; Mechanisms exist to require contractual requirements for cybersecurity & data privacy requirements with third-parties| reflecting the organization's needs to protect its systems| processes and data.; Mechanisms exist to obtain a First-Party Declaration (1PD) from applicable External Service Providers (ESPs) that provides assurance of compliance with specified statutory| regulatory and contractual obligations for cybersecurity & data privacy controls| including any flow-down requirements to subcontractors. ; Mechanisms exist to obtain an attestation from an independent Third-Party Assessment Organization (3PAO) that provides assurance of conformity with specified statutory| regulatory and contractual obligations for cybersecurity & data privacy controls| including any flow-down requirements to contractors and subcontractors.; Mechanisms exist to facilitate the implementation of third-party management controls.,,
3.1.21,Limit use of organizational portable storage devices on external systems.,1,0,,InTune,Summit 7 blocks the use of removable storage by default via InTune. Client is responsible for identifying if an alternative scheme is needed and notifying S7 for appropriate re-configuration. Client is responsible for authoring appropriate policy defining what use of storage devices is permitted.; Summit 7 sets Intune policies to block the use of portable storage devices by default. The customer is responsible for requesting a change to this policy and for independently meeting the requirement if changes are made to allow portable storage device use. Summit 7 has limited capability to whitelist certain device types for use via ADMX| which could assist in meeting this requirement.,,,,
3.1.22,Control CUI posted or processed on publicly accessible systems.,1,0,,,,,"Mechanisms exist to control publicly-accessible content.; Mechanisms exist to provide all employees and contractors appropriate awareness education and training that is relevant for their job function. ; Mechanisms exist to provide role-based cybersecurity & data privacy-related training: 
 •Before authorizing access to the system or performing assigned duties; 
 •When required by system changes; and 
 •Annually thereafter.; Mechanisms exist to define cybersecurity responsibilities for all personnel. ; Mechanisms exist to ensure that individuals accessing a system that stores| transmits or processes information requiring special protection satisfy organization-defined personnel screening criteria.; Mechanisms exist to restrict the disclosure of sensitive / regulated data to authorized parties with a need to know.; Mechanisms exist to define acceptable and unacceptable rules of behavior for the use of technologies| including consequences for unacceptable behavior.; Mechanisms exist to require all employees and contractors to apply cybersecurity & data privacy principles in their daily work.",,
3.2.1,Ensure that managers| systems administrators| and users of organizational systems are made aware of the security risks associated with their activities and of the applicable policies| standards| and procedures related to the security of those systems.,5,Audit Ready,"The organization shall ensure managers, system administrators, and users of organizational systems understand the security risks associated with their roles and activities, as well as applicable policies, standards, and procedures governing the protection of organizational systems and sensitive information. Security awareness training shall be delivered based on role-specific risk profiles, tailored to address common threats such as phishing, incident reporting, and CUI handling requirements. Training programs will include both initial training (within 30 days of onboarding) and recurring annual sessions, with performance assessments to ensure comprehension and compliance. Awareness efforts shall reinforce secure practices through continuous engagement methods such as logon banners, quick reference materials, posters, and email reminders, ensuring personnel remain informed of emerging risks and are equipped to mitigate them effectively.",Policy control.,Client is responsible for performing own formal analysis of information security risks posed to the organization. Client is responsible for identifying relevant policies and procedures that client personnel must be trained on. Client is responsible for performing appropriate training on information security risks and associated policies and procedures. Client is responsible for retaining evidence of this training.,,"Mechanisms exist to facilitate the implementation of security workforce development and awareness controls. ; Mechanisms exist to provide all employees and contractors appropriate awareness education and training that is relevant for their job function. ; Mechanisms exist to provide role-based cybersecurity & data privacy awareness training that is current and relevant to the cyber threats that users might encounter in day-to-day business operations.; Mechanisms exist to utilize security awareness training on recognizing and reporting potential indicators of insider threat.; Mechanisms exist to include awareness training on recognizing and reporting potential and actual instances of social engineering and social mining.; Mechanisms exist to provide role-based cybersecurity & data privacy-related training: 
 •Before authorizing access to the system or performing assigned duties; 
 •When required by system changes; and 
 •Annually thereafter.; Mechanisms exist to maintain situational awareness of evolving threats by leveraging the knowledge of attacker tactics| techniques and procedures to facilitate the implementation of preventative and compensating controls.",,Evidence\AT\ABS Insider Threat Training.png | Evidence\AT\ABS Cybersecurity Awareness Training.jpg | Evidence\AT\Cybertraining 2.png | Evidence\AT\Cybertraining.png | Evidence\AT\CUI Ivanti Request.png
3.2.2,Ensure that organizational personnel are adequately trained to carry out their assigned information security-related duties and responsibilities.,5,Audit Ready,"The organization shall ensure personnel are adequately trained to perform the information security-related duties and responsibilities inherent to their roles, in alignment with NIST SP 800‑171 3.2.2 assessment objectives. Training for security-critical roles shall be tailored to specific responsibilities, including privileged access management, system configuration, secure coding practices, incident response procedures, and compliance obligations, via a combination of internal and external resources. Personnel shall complete initial training within 30 days of role assignment, supplemented by annual refreshers and professional certifications where applicable. The implementation and tracking of training compliance will leverage role-based training matrices, completion rosters, assessments, and evidence of external certifications, ensuring continuous improvement and alignment with evolving cybersecurity requirements.",Policy control.,Client is responsible for performing own formal analysis of information security risks posed to the organization. Client is responsible for identifying relevant policies and procedures that client personnel must be trained on. Client is responsible for performing appropriate training on information security risks and associated policies and procedures. Client is responsible for retaining evidence of this training.,,"Mechanisms exist to provide role-based cybersecurity & data privacy awareness training that is current and relevant to the cyber threats that users might encounter in day-to-day business operations.; Mechanisms exist to provide role-based cybersecurity & data privacy-related training: 
 •Before authorizing access to the system or performing assigned duties; 
 •When required by system changes; and 
 •Annually thereafter.; Mechanisms exist to ensure that individuals accessing a system that stores| transmits or processes information requiring special protection satisfy organization-defined personnel screening criteria.; Mechanisms exist to maintain situational awareness of evolving threats by leveraging the knowledge of attacker tactics| techniques and procedures to facilitate the implementation of preventative and compensating controls.",,Evidence\AT\ABS Insider Threat Training.png | Evidence\AT\ABS Cybersecurity Awareness Training.jpg | Evidence\AT\Cybertraining 2.png | Evidence\AT\Cybertraining.png | Evidence\AT\CUI Ivanti Request.png | Evidence\AT\DoD CyberAwarenessChallenge.pdf
3.2.3,Provide security awareness training on recognizing and reporting potential indicators of insider threat.,1,Audit Ready,"The organization shall provide security awareness training to equip personnel with the knowledge to recognize and report potential indicators of insider threats, in alignment with NIST SP 800‑171 3.2.3 assessment objectives. Training must cover behavioral, personal, and technical indicators of insider threats, along with proper reporting mechanisms, the non-retaliation policy, and real-world case studies to contextualize risks. All personnel shall complete insider threat awareness training as part of general security awareness and annual refreshers, with managers and security-critical roles receiving additional role-specific guidance. Technical monitoring via Sentinel analytics rules will complement behavioral awareness by identifying anomalies in access, data transfer, and login activity; all insider threat concerns will follow established reporting and investigation procedures to ensure swift response and mitigation. Evidence of training delivery, technical validation, and case handling shall demonstrate organizational readiness to prevent, detect, and respond to insider threats.",Policy control.,Client is responsible for performing own formal analysis of information security risks posed to the organization. Client is responsible for identifying relevant policies and procedures that client personnel must be trained on. Client is responsible for performing appropriate training on information security risks and associated policies and procedures. Client is responsible for retaining evidence of this training.,,,,Evidence\AT\ABS Insider Threat Training.png | Evidence\AT\DoD CyberAwarenessChallenge.pdf
3.3.1,Create and retain system audit records to the extent needed to enable the monitoring| analysis| investigation| and reporting of unlawful| unauthorized| or inappropriate system activity.,5,0,,Sentinel,Summit 7 Initial setup includes the standard/default Azure logging capabilities including for Azure connected devices.,,"Mechanisms exist to configure systems to produce event logs that contain sufficient information to| at a minimum:
 •Establish what type of event occurred;
 •When (date and time) the event occurred;
 •Where the event occurred;
 •The source of the event;
 •The outcome (success or failure) of the event; and 
 •The identity of any user/subject associated with the event. ; Mechanisms exist to review event logs on an ongoing basis and escalate incidents in accordance with established timelines and procedures.; Mechanisms exist to generate| generate| monitor| correlate and respond to alerts from physical| cybersecurity| data privacy and supply chain activities to achieve integrated situational awareness. ; Mechanisms exist to facilitate the implementation of enterprise-wide monitoring controls.",,
3.3.2,Ensure that the actions of individual system users can be uniquely traced to those users so they can be held accountable for their actions.,3,0,,Sentinel,Summit 7 Initial setup includes the standard/default Azure logging capabilities including for Azure connected devices. Client is responsible for authoring policy to enforce account naming and shared account provisions| and is responsible for codifying minimum logging requirements.,,"Mechanisms exist to configure systems to produce event logs that contain sufficient information to| at a minimum:
 •Establish what type of event occurred;
 •When (date and time) the event occurred;
 •Where the event occurred;
 •The source of the event;
 •The outcome (success or failure) of the event; and 
 •The identity of any user/subject associated with the event. ; Mechanisms exist to allow baseline controls to be specialized or customized by applying a defined set of tailoring actions that are specific to:
 •Mission / business functions;
 •Operational environment;
 •Specific threats or vulnerabilities; or
 •Other conditions or situations that could affect mission / business success.; Mechanisms exist to configure systems to use an authoritative time source to generate time stamps for event logs. ",,
3.3.3,Review and update audited events.,1,0,,,Client is responsible for developing policy and program around reviewing logged events. Client is responsible for conducting reviews| modifying logging settings| and keeping evidence of these activities.,,Mechanisms exist to generate| generate| monitor| correlate and respond to alerts from physical| cybersecurity| data privacy and supply chain activities to achieve integrated situational awareness. ; Mechanisms exist to protect event logs and audit tools from unauthorized access| modification and deletion.; Mechanisms exist to retain event logs for a time period consistent with records retention requirements to provide support for after-the-fact investigations of security incidents and to meet statutory| regulatory and contractual retention requirements. ,,
3.3.4,Alert in the event of an audit process failure.,1,0,,Sentinel,"S7 will configure logging system to alert designated client personnel when audit log failures occur.; S7 configures Azure Health Services will alert in the case where VMs are offline (and subsequently would not be producing logs). This is currently the only ""Audit Logging Process Failure"" that Summit 7 would have the ability to report on.",,Mechanisms exist to alert appropriate personnel in the event of a log processing failure and take actions to remedy the disruption.; Mechanisms exist to automatically alert incident response personnel to inappropriate or anomalous activities that have potential security incident implications.; Mechanisms exist to cover the preparation| automated detection or intake of incident reporting| analysis| containment| eradication and recovery.,,
3.3.5,Correlate audit review| analysis| and reporting processes for investigation and response to indications of inappropriate| suspicious| or unusual activity.,5,0,,Sentinel,S7 will configure systems to include standard Azure logging capabilities| including Azure connected devices.,,Mechanisms exist to review event logs on an ongoing basis and escalate incidents in accordance with established timelines and procedures.; Mechanisms exist to utilize a Security Incident Event Manager (SIEM)| or similar automated tool| to support the centralized collection of security-related event logs.; Mechanisms exist to automatically alert incident response personnel to inappropriate or anomalous activities that have potential security incident implications.; Mechanisms exist to provide an event log report generation capability to aid in detecting and assessing anomalous activities. ; Automated mechanisms exist to correlate both technical and non-technical information from across the enterprise by a Security Incident Event Manager (SIEM) or similar automated tool| to enhance organization-wide situational awareness.; Mechanisms exist to detect and respond to anomalous behavior that could indicate account compromise or other malicious activities.,,
3.3.6,Provide audit reduction and report generation to support on-demand analysis and reporting.,1,0,,Sentinel,S7 will configure systems to include standard Azure logging capabilities| including Azure connected devices.,,Mechanisms exist to protect event logs and audit tools from unauthorized access| modification and deletion.; Mechanisms exist to provide an event log report generation capability to aid in detecting and assessing anomalous activities. ,,
3.3.7,Provide a system capability that compares and synchronizes internal system clocks with an authoritative source to generate time stamps for audit records.,1,0,,Azure,S7 will configure environment to use time.windows.com as the default time server.,,Mechanisms exist to configure systems to use an authoritative time source to generate time stamps for event logs. ; Mechanisms exist to synchronize internal system clocks with an authoritative time source. ,,
3.3.8,Protect audit information and audit tools from unauthorized access| modification| and deletion.,1,0,,RBAC Form| EntraID,S7 configures EntraID according to the S7 RBAC form to provide only authorized access to audit information and audit logging tools.,,Mechanisms exist to enforce a Role-Based Access Control (RBAC) policy over users and resources that applies need-to-know and fine-grained access control for sensitive/regulated data access.; Mechanisms exist to utilize the concept of least privilege| allowing only authorized access to processes necessary to accomplish assigned tasks in accordance with organizational business functions. ; Mechanisms exist to protect event logs and audit tools from unauthorized access| modification and deletion.; Mechanisms exist to restrict access to the management of event logs to privileged users with a specific business need.,,
3.3.9,Limit management of audit functionality to a subset of privileged users.,1,0,,RBAC Form| EntraID,S7 configures EntraID according to the S7 RBAC form to provide only authorized access to audit information and audit logging tools.,,,,
